name;birth_year;death_year;about;works
Alexander Ablesimov;1742;1783;opera librettist, poet, dramatist, satirist and journalist;
Fyodor Abramov;1920;1983;novelist and short story writer;Two Winters and Three Summers
Grigory Adamov;1886;1945;science fiction writer;The Mystery of the Two Oceans
Georgy Adamovich;1892;1972;poet, critic, memoirist, tanslator;
Alexander Afanasyev;1826;1871;folklorist who recorded and published over 600 Russian folktales and fairytales;Russian Fairy Tales
Alexander Afanasyev-Chuzhbinsky;1816;1875;poet, writer, ethnographer and translator;
Alexander Afinogenov;1904;1941;playwright;A Far Place
M. Ageyev;1898;1973;pseudonymous writer;Cocain Romance
Chinghiz Aitmatov;1928;2008;;Kyrgyz novelist and short story writer,Jamilya,The Day Lasts More Than a Hundred Years
David Aizman;1869;1922;;Russian-Jewish writer and playwright
Bella Akhmadulina;1937;2010;modern poet;The String
Anna Akhmatova;1889;1966;acmeist poet;Requiem
Ivan Aksakov;1823;1886;journalist, slavophile;
Konstantin Aksakov;1817;1860;playwright, critic and writer, slavophile;
Sergey Aksakov;1791;1859;novelist and miscellaneous writer;The Scarlet Flower
Vasily Aksyonov;1932;2009;novelist and short story writer;Generations of Winter
Boris Akunin;1956;;author, essayist, translator and literary critic;Erast Fandorin series,Sister Pelagia series
Mark Aldanov;1957;;historical novelist;
Andrey Aldan-Semenov;1908;1985;;Gulag memoirist
Mikhail Alekseyev;1918;2007;writer and editor;My Stalingrad
Sholem Aleichem;1859;1916;;Russian Jewish writer,Wandering Stars
Margarita Aliger;1915;1992;poet, translator, and journalist;Zoya
Yuz Aleshkovsky;1929;;writer, poet, playwright and performer of his own songs;Kangaroo
Boris Almazov;1827;1876;poet, translator and literary critic;
Alexander Amfiteatrov;1862;1938;writer and historian;Napoleonder
Daniil Andreyev;1906;1959;writer, poet, and Christian mystic;Roza Mira
Leonid Andreyev;1871;1919;novelist, playwright and short story writer;The Seven Who Were Hanged
Sergey Andreyevsky;1847;1918;writer, poet, literary critic;The Book on Death
Irakly Andronikov;1908;1990;writer, historian, philologist and media personality;
Pavel Annenkov;1813;1887;critic and memoirist;The Extraordinary Decade
Innokenty Annensky;1855;1909;poet, critic and translator, representative of the first wave of Russian Symbolism;
Lev Anninsky;1934;;writer, literary historian and critic;
Pavel Antokolsky;1896;1978;poet;All We Who in His Name
Maxim Antonovich;1835;1918;critic, essayist, memoirist, translator and philosopher;
Aleksey Apukhtin;1840;1893;poet and writer;From Death to Life
Maria Arbatova;1957;;novelist, short story writer, playwright, poet and journalist;
Aleksei Arbuzov;1908;1986;playwright;A Long Road
Vladimir Arnoldi;1871;1924;children's author and professor of biology;
Mikhail Artsybashev;1878;1927;naturalist writer and playwright;Sanin
Nikolai Aseev;1889;1963;futurist poet;Night Flute
Viktor Astafyev;1924;2001;novelist and short story writer;Sad Detective
Mikhail Avdeev;1821;1876;novelist and playwright;Tamarin trilogy
Arkady Averchenko;1881;1925;satirical writer and playwright;Ninochka
Vasily Avseenko;1842;1913;writer, journalist and literary critic;
Hizgil Avshalumov;1913;2001;soviet novelist, poet and playwrighter;
Gennadiy Aygi;1934;2006;;Chuvash poet and translator
Vasily Azhayev;1915;1968;novelist;Far from Moscow
Semyon Babayevsky;1909;2000;novelist and short story writer;Golden Star Chavalier
Isaak Babel;1894;1940;short story writer;The Odessa Tales,Red Cavalry
Eduard Bagritsky;1895;1934;constructivist poet;February
Grigory Baklanov;1923;2009;novelist and magazine editor;Forever Nineteen
Mikhail Bakhtin;1895;1975;philosopher, literary critic, semiotician and scholar, 'Epic and Novel';
Mikhail Bakunin;1814;1876;revolutionary and theorist of collectivist anarchism;God and the State,Statism and Anarchy
Konstantin Balmont;1867;1942;symbolist poet and translator;Burning Buildings,Let Us Be Like the Sun
Jurgis Baltrušaitis;1873;1944;poet and translator;The Pendulum
Yevgeny Baratynsky;1800;1844;poet;The Gipsy
Natalya Baranskaya;1908;2004;novelist and short story writer;A Week Like Any Other
Ivan Barkov;1732;1768;comic and erotic poet;Luka Mudischev
Anna Barkova;1901;1976;poet and writer;Gulag survivor
Elpidifor Barsov;1836;1917;literary historian, ethnographer, folklorist, philologist;
Agniya Barto;1906;1981;;Russian-Jewish poet and children's writer
Alexander Bashlachev;1960;1988;poet, musician, guitarist, and singer-songwriter;
Fyodor Batyushkov;1857;1920;philologist, essayist, literary and theatre historian;
Konstantin Batyushkov;1787;1855;poet, essayist and translator;
Pavel Bazhov;1879;1950;fairy tale author;The Malachite Casket
Demyan Bedny;1883;1945;poet and satirist;New Testament Without Defects
Dmitry Begichev;1786;1855;writer and politician;
Alexander Bek;1903;1972;novelist;And Not to Die
Vissarion Belinsky;1811;1848;writer, literary critic and philosopher;
Vasily Belov;1932;2012;writer, poet and dramatist;Eves,The Year of a Major Breakdown
Andrei Bely;1880;1934;symbolist poet and writer;Petersburg
Alexander Belyayev;1884;1942;science fiction author;Amphibian Man
Vladimir Benediktov;1807;1873;poet and translator;
Nina Berberova;1901;1993;novelist and short story writer;The Book of Happiness
Nikolai Berg;1823;1884;poet, journalist, translator and historian;
Olga Bergholz;1910;1975;poet, playwright and memoirist;
Alexander Bestuzhev;1797;1837;novelist, short story writer and Decembrist;An Evening on Bivouac
Vitaly Bianki;1894;1959;nature and children's writer;
Aleksei Bibik;1878;1976;working-class novelist and short story writer;
Andrei Bitov;1937;;novelist and short story writer;Pushkin House
Nikolai Blagoveshchensky;1837;1889;writer, journalist and biographer;
Helena Blavatsky;1831;1891;a founder of Theosophy and the Theosophical Society;The Secret Doctrine,Isis Unveiled
Pyotr Blinov;1913;1942;;Udmurt writer and journalist
Alexander Blok;1880;1921;poet;The Twelve
Pyotr Boborykin;1836;1921;writer, playwright and journalist;China Town
Oleg Bogayev;1970;;playwright;The Russian National Postal Service
Andrei Bogdanov;1692;1766;bibliographer and ethnographer;
Alexander Bogdanov;1873;1928;novelist, physician, economist and philosopher;Red Star
Vladimir Bogomolov;1926;2003;novelist and short story writer;Ivan
Vladimir Bogoraz;1865;1936;revolutionary, writer and anthropologist;
Yuri Bondarev;1924;;novelist and short story writer;The Shore
Leonid Borodin;1938;2011;novelist and journalist;The Story of a Strange Time
Genrikh Borovik;1929;;publicist, writer, playwright and filmmaker;
Vasily Botkin;1812;1869;critic, essayist and translator;
Valeri Brainin-Passek;1948;;;Russian/German musicologist, music manager, composer and poet
Osip Brik;1888;1945;avant garde writer and literary critic;
Joseph Brodsky;1940;1996;poet and essayist;Nobel Prize Winner
Valery Bryusov;1873;1924;poet, novelist and short story writer;The Fiery Angel
Yury Buida;1954;;novelist and short story writer;The Zero Train
Vladimir Bukovsky;1942;;writer and dissident;
Mikhail Bulgakov;1891;1940;novelist and playwright;The Master and Margarita
Faddey Bulgarin;1789;1859;;Polish-born writer and journalist
Kir Bulychev;1934;2003;science fiction author;Half a Life
Ivan Bunin;1870;1953;first Russian winner of the Nobel Prize for Literature;The Village
Anna Bunina;1774;1829;poet;Though Poverty's No Stain
Viktor Burenin;1841;1926;writer, critic, playwright, librettist and satirical poet;
David Burliuk;1882;1967;illustrator, publicist and author associated with Russian Futurism;
Pyotr Bykov;1844;1930;literary historian, poet and translator;
Dimitrie Cantemir;1673;1723;philosopher, historian, composer, musicologist, linguist, ethnographer and geographer;
Pyotr Chaadayev;1794;1856;philosopher;Philosophical Letters
Aleksey Chapygin;1870;1937;novelist and short story writer;Stepan Razin
Lidia Charskaya;1875;1938;novelist and actress;
Alexander Chekhov;1855;1913;writer and journalist;
Anton Chekhov;1860;1904;short story writer and playwright;The Cherry Orchard
Nikolay Chernyshevsky;1828;1889;writer, journalist and politician;What Is to Be Done?
Evgeny Chirikov;1864;1932;novelist, short story writer and playwright;The Magician
Sasha Chorny;1880;1932;poet, satirist and children's writer;
Korney Chukovsky;1882;1969;children's poet;Wash'em'clean
Lydia Chukovskaya;1907;1996;writer and poet;Sofia Petrovna
Georgy Chulkov;1879;1939;poet, editor, writer and critic;
Denis Davydov;1784;1839;soldier-poet of the Napoleonic Wars;
Vladimir Dal;1801;1872;writer and lexicographer;Explanatory Dictionary
Yuli Daniel;1925;1988;dissident writer, poet and translator;This is Moscow Speaking
Grigory Danilevsky;1829;1890;historical and ethnographical novelist;Moscow in Flames
Anton Delvig;1798;1831;poet, journalist and magazine editor;
Grigoriy Demidovtsev;1960;;writer and playwright;
Andrey Dementyev;1928;;poet and writer;
Regina Derieva;1949;;poet, writer and essayist;
Gavrila Derzhavin;1743;1816;poet and statesman;Let the Thunder of Victory Sound!
