surname,name,birth_date,presidency_start_date,presidency_end_date,death_date
Washington,George,1732-02-22,1789-04-30,1797-03-04,1799-12-14
Adams,John A.,1735-10-30,1797-03-04,1801-03-04,1826-07-04
Jefferson,Thomas,1743-04-13,1801-03-04,1809-03-04,1826-07-04
Madison,James,1751-03-16,1809-03-04,1817-03-04,1836-06-28
Monroe,James,1758-04-28,1817-03-04,1825-03-04,1831-07-04
Adams,John Q.,1767-07-11,1825-03-04,1829-03-04,1848-02-23
Jackson,Andrew,1767-03-15,1829-03-04,1837-03-04,1845-06-08
Van Buren,Martin,1782-12-05,1837-03-04,1841-03-04,1862-07-24
Harrison,William H.,1773-02-09,1841-03-04,1841-04-04,1841-04-04
Tyler,John,1790-03-29,1841-04-04,1845-03-04,1862-01-18
Polk,James K.,1795-11-02,1845-03-04,1849-03-04,1849-06-15
Taylor,Zachary,1784-11-24,1849-03-04,1850-07-09,1850-07-09
Fillmore,Millard,1800-01-07,1850-07-09,1853-03-04,1874-03-08
Pierce,Franklin,1804-11-23,1853-03-04,1857-03-04,1869-10-08
Buchanan,James,1791-04-23,1857-03-04,1861-03-04,1868-06-01
Lincoln,Abraham,1809-02-12,1861-03-04,1865-04-15,1865-04-15
Johnson,Andrew,1808-12-29,1865-04-15,1869-03-04,1875-07-31
Grant,Ulysses S.,1822-04-27,1869-03-04,1877-03-04,1885-07-23
Hayes,Rutherford B.,1822-10-04,1877-03-04,1881-03-04,1893-01-17
Garfield,James A.,1831-11-19,1881-03-04,1881-09-19,1881-09-19
Arthur,Chester A.,1829-10-05,1881-09-19,1885-03-04,1886-11-18
Cleveland,Grover,1837-03-18,1885-03-04,1889-03-04,1908-06-24
Harrison,Benjamin,1833-08-20,1889-03-04,1893-03-04,1901-03-13
Cleveland,Grover,1837-03-18,1893-03-04,1897-03-04,1908-06-24
McKinley,William,1843-01-29,1897-03-04,1901-09-14,1901-09-14
Roosevelt,Theodore,1858-10-27,1901-09-14,1909-03-04,1919-01-06
Taft,William H.,1857-09-15,1909-03-04,1913-03-04,1930-03-08
Wilson,Woodrow,1856-12-28,1913-03-04,1921-03-04,1924-02-03
Harding,Warren G.,1865-11-02,1921-03-04,1923-08-02,1923-08-02
Coolidge,Calvin,1872-07-04,1923-08-02,1929-03-04,1933-01-05
Hoover,Herbert,1874-08-10,1929-03-04,1933-03-04,1964-10-20
Roosevelt,Franklin D.,1882-01-30,1933-03-04,1945-04-12,1945-04-12
Truman,Harry S.,1884-05-08,1945-04-12,1953-01-20,1972-12-26
Eisenhower,Dwight D.,1890-10-14,1953-01-20,1961-01-20,1969-03-28
Kennedy,John F.,1917-05-29,1961-01-20,1963-11-22,1963-11-22
Johnson,Lyndon B.,1908-08-27,1963-11-22,1969-01-20,1973-01-22
Nixon,Richard,1913-01-09,1969-01-20,1974-08-09,1994-04-22
Ford,Gerald,1913-07-14,1974-08-09,1977-01-20,2006-12-26
Carter,Jimmy,1924-10-01,1977-01-20,1981-01-20,
Reagan,Ronald,1911-02-06,1981-01-20,1989-01-20,2004-06-05
Bush,George H. W.,1924-06-12,1989-01-20,1993-01-20,
Clinton,Bill,1946-08-19,1993-01-20,2001-01-20,
Bush,George W.,1946-07-06,2001-01-20,2009-01-20,
Obama,Barack,1961-08-04,2009-01-20,2017-01-20,
Trump,Donald,1946-06-14,2017-01-20,,
